Fase de Investimento,N.. Transaccoes SCR, ( +/-Valia (€) SCR,% SCR,N.. Transaccoes FCR, ( +/-Valia (€) FCR,% FCR,N.. Transaccoes Total, ( +/-Valia (€) Total,% Total
Seed Capital,1,0,0,5,9882617.8,0.3241584514,6,9882617.8,0.3319751777
Start-up,1,-10717.9,0.0149305482,26,180448.3,0.005918861042,27,169730.4,0.005701554067
Early Stage,2,-737893.9,1.027921556,2,140607.9,0.004612061302,4,-597286,-0.02006392739
Expansao,5,52748,-0.0734804912,11,362921.8,0.0119041504,16,415669.8,0.0139631076
Capital de substituicao ,1,0,0,13,19331638.7,0.6340945477,14,19331638.7,0.6493850438
Turnaorund,3,0,0,5,-49865.9,-0.001635644851,8,-49865.9,-0.001675086637
Ref. Da divida bancaria,0,0,0,2,1.5,0.00000004920130343,2,1.5,0.00000005038773903
Management buy out,2,-81957.2,0.1141703062,6,638627.1,0.02094752382,8,556669.9,0.01869955843
Management buy in,0,0,0,0,0,0,0,0,0
Outros,3,59970.6,-0.08354191904,1,0,0,4,59970.6,0.002014521961
Total,18,-717850.4,1,71,30486997.2,1,89,29769146.8,1
