Criterio,N.. de Contratos SCR,Valorizacao em Carteira SCR,N.. de Contratos FCR,Valorizacao em Carteira FCR,N.. de Contratos Total,Valorizacao em Carteira Total
Multiplo,0,0,4,1586,4,1586
Valor de mercado,0,0,11,0,11,0
Avaliacao,13,-2367.7,182,-9730.5,195,-12098.2
"Indexado a performance da empresa, com min e maximo definidos",1,0,4,0,5,0
Indexado a performance da empresa,1,0,17,3450.1,18,3450.1
Capitalizacao do valor de aquisicao (indexado a Euribor),5,0,14,32848.3,19,32848.3
Valor de aquisicao,0,0,0,0,0,0
Preco Fixo,1,0,24,25234.4,25,25234.4
Valorizacao anual fixa,0,0,15,14441.2,15,14441.2
Contrato (define formula de Calculo,7,-746.3,64,-1765.2,71,-2511.5
Indexado aos subsidios recebidos,0,0,0,0,0,0
"Omisso, nao identificado",2,878.1,1,0,3,878.1
Total,30,-2235.9,336,66064.3,366,63828.4
