Metodologia de Valorizacao,Valias Potencias SCR,Valias Potencias FCR,Valias Potencias Total
Valor de aquisicao,-5.9,-5445.9,-5451.8
Preco de Mercado,831,-52161.9,-51330.9
Transacoes relevantes,11.1,8775.7,8786.8
Multiplos,13359.5,-26559.2,-13199.7
Fluxos de caixa descontados (DCF),-80409.8,-325570.3,-405980.1
NAV,-9082.2,11341.8,2259.6
Valor de aquisicao (fator de desconto),0,0,0
preco de Mercado (fator de desconto),108.8,32.1,140.9
transacoes relevantes (fator de desconto),0,0,0
Multiplos (fator de desconto),4189.1,3539.9,7729
fluxos de caixa descontados (DCF) (fator de desconto),2358.2,-36726.1,-34367.9
NAV (fator de desconto),-4548.1,-561.8,-5109.9
Outros,0,0,0
Total,-73188.3,-423335.7,-496524
