Tipo de Investimento,SCR,VAR 2012/2011,FCR,VAR 2012/2011,Total,VAR 2012/2011
Participacoes em capital social (cotadas),4,33.3,4,0,8,14.3
Empresas residentes,2,100,4,100,6,100
Empresas Nao residentes,2,0,0,-100,2,-50
participacoes em capital social (nao cotadas),103,3,543,4.8,646,4.5
Empresas residentes,78,2.6,501,4.8,579,4.5
Empresas Nao residentes,25,4.2,42,5,67,4.7
Investimento em UP de FCR,35,6.1,12,9.1,47,6.8
sobre Empresas Residentes,35,6.1,11,0,46,4.5
sobre empresas nao residentes,0,,1,,1,
Outros investimentos (1),50,2,424,14.6,474,13.1
Empresas residentes,48,2.1,411,15.1,459,13.1
Empresas Nao residentes,2,0,13,0,15,0
Total,192,2.8,983,8.9,1175,8
