Sectores de Actividade,N.. Part (1) SCR,Valor SCR,% SCR,N.. Part (1) FCR,Valor FCR,% FCR,N.. Part (1) Total,Valor Total,% Total
"Agricultura, producao animal, caca, floresta e pesca",0,0,0,4,11.7,0.005199768899,4,11.7,0.004150996949
Industrias extrativas,3,0,0,0,0,0,3,0,0
Industrias transformadoras,33,35.1,0.0617414248,225,366.9,0.1630594196,258,402,0.1426239977
"Eletricidade, gas, vapor, agua quente e fria e ar frio",2,0.2,0.0003518029903,18,169.2,0.07519665793,20,169.4,0.06010075924
"Captacao, tratamento e distribuicao de agua, sanemento, gestao de residuos e despoluicao",2,135.7,0.2386983289,6,18.3,0.008132971868,8,154,0.05463705386
Construcao,1,10,0.01759014952,15,42.7,0.01897693436,16,52.7,0.01869722557
"Comercio por grosso e a retalho, reparacao de veiculos automoveis e motociclos",9,2,0.003518029903,76,27.6,0.01226612151,85,29.6,0.01050166749
Transportes e armazenagem,1,221.1,0.3889182058,21,26.5,0.01177725434,22,247.6,0.08784502945
"Alojamento, restauracao e similares",8,5,0.008795074758,45,141.7,0.06297497889,53,146.7,0.05204711559
Actividades de Informacao e de Comunicacao,15,1.5,0.002638522427,130,67.1,0.02982089685,145,68.6,0.02433832399
Actividades financeiras e de seguros,42,95,0.1671064204,21,67.9,0.0301764366,63,162.9,0.05779464983
SGPS - nao financeiras,23,34.4,0.06051011434,170,1074,0.4773121195,193,1108.4,0.3932448733
Atividades Imobiliarias,10,22.6,0.03975373791,12,68.4,0.03039864895,22,91,0.03228553182
"Actividades de consultadoria, cientificas, tecnicas e similares",29,4.5,0.007915567282,169,117.1,0.05204213146,198,121.6,0.04314198538
Actividades administrativas e dos servicos de apoio,5,0.4,0.0007036059807,46,37.9,0.01684369584,51,38.3,0.01358830625
Administracao Publica e Defesa; Seguranca Social Obrigatoria,0,0,0,0,0,0,0,0,0
Educacao,3,0.3,0.0005277044855,1,0,0,4,0.3,0.0001064358192
Actividades de saude humana e apoio social,3,0.7,0.001231310466,8,11.1,0.004933114084,11,11.8,0.004186475555
"Atividade artisticas, de espetaculos, desportivas e recreativas",3,0,0,14,1.5,0.0006666370384,17,1.5,0.000532179096
Outras actividades de servicos,0,0,0,2,0.5,0.0002222123461,2,0.5,0.000177393032
Atividade das familias empregadoras de pessoal domestico e actividades de producao das familias para uso proprio,0,0,0,0,0,0,0,0,0
Atividade dos organismos internacinais e outras Instituicoes extra territoriais,0,0,0,0,0,0,0,0,0
Total,192,568.5,1,983,2250.1,1,1175,2818.6,1
